source_dir,algorithm,reward_key,episodes,grid_import_kwh,grid_import_ratio_vs_fixed,savings_vs_fixed_pct,discomfort_proportion,discomfort_ratio_vs_fixed,cost_total_ratio,cost_ratio_vs_fixed,carbon_emissions_total_ratio,daily_peak_average_ratio,ramping_average_ratio,train_sec,stability_episode,last_10_episode_reward_mean
outputs_q_learning1804_05_2,Q-learning,solar,2.0,1838.63,0.44615127401942833,55.385,0.5755,0.6875746714456392,,,,,,15.43,,-3845.079
outputs_q_learning1804_05,Q-learning,solar,50.0,1623.659,0.3939876600638035,60.601,0.7464,0.8917562724014336,,,,,,383.68,,-2203.455
outputs_q_learning1804_05_200_copy,Q-learning,solar,200.0,1470.652,0.35685987035957223,64.314,0.7765,0.9277180406212664,,,,,,1594.0,153.0,-1394.255
outputs_q_learning0105_06,Q-learning,solar_alignment,50.0,1080.409,1.0248265094343203,-2.483,0.4067,1.0,,,,,,161.29,20.0,-1021.78
outputs_q_learning0105_07,Q-learning,solar_price_arbitrage,50.0,1078.898,1.0233932440174685,-2.339,0.4067,1.0,,,,,,128.54,20.0,-2962.191
outputs_q_learning2404_02_01,Q-learning,storage,1.0,1549.233,0.37592787929215826,62.407,0.7248,0.8659498207885306,,,,,,7.57,,-4374.529
outputs_q_learning0105_02,Q-learning,storage,2.0,1504.786,1.4282937293259488,-42.829,0.7904,0.8080147209159682,,,,,,16.37,,-4368.297
outputs_q_learning1804_05_2,Q-learning,storage,2.0,1838.63,0.44615127401942833,55.385,0.5755,0.6875746714456392,,,,,,15.64,,-4389.403
outputs_q_learning0105_03,Q-learning,storage,30.0,1197.251,1.136391550512313,-13.639,0.935,0.955837252095686,,,,,,236.03,,-3040.188
outputs_q_learning0105_04,Q-learning,storage,50.0,1114.202,1.056881001976787,-5.688,0.4067,1.0,,,,,,131.18,20.0,-1130.137
outputs_q_learning1804_05,Q-learning,storage,50.0,1500.157,0.364019382246109,63.598,0.8183,0.9776583034647551,,,,,,383.62,,-2504.578
outputs_q_learning1804_05_200_copy,Q-learning,storage,200.0,1272.885,0.3088708790948804,69.113,0.8911,1.0646356033452808,,,,,,1625.2,102.0,-1582.478
outputs_q_learning0505_02,Q-learning,storage,250.0,1125.956,0.27321794155965007,72.678,0.9611,1.1482676224611708,0.4149,0.27465907586389515,0.446,0.7194,1.0076,2175.16,102.0,-1540.685
outputs_q_learning2404_02_01,Q-learning,timeofuse,1.0,1874.889,0.45494967230764854,54.505,0.6136,0.733094384707288,,,,,,7.56,,-5691.519
outputs_q_learning0105_02,Q-learning,timeofuse,2.0,1504.786,1.4282937293259488,-42.829,0.7904,0.8080147209159682,,,,,,19.29,,-5766.077
outputs_q_learning1804_05_2,Q-learning,timeofuse,2.0,1838.63,0.44615127401942833,55.385,0.5755,0.6875746714456392,,,,,,15.12,,-5762.253
outputs_q_learning0105_03,Q-learning,timeofuse,30.0,1262.318,1.1981510220159364,-19.815,0.9258,0.9464322224493968,,,,,,236.83,,-3864.967
outputs_q_learning0105_06,Q-learning,timeofuse,50.0,1070.895,1.0158019646454872,-1.58,0.4067,1.0,,,,,,162.05,,-1477.415
outputs_q_learning0205_02,Q-learning,timeofuse,50.0,1812.811,0.7228266785542118,56.011,0.6094,1.4773333333333336,0.7367,0.8087605664727193,0.7469,1.4063,2.0717,385.69,,-3576.105
outputs_q_learning0305_02,Q-learning,timeofuse,50.0,1812.811,0.43988618547855407,56.011,0.6094,0.7280764635603346,0.7367,0.48768701178339735,0.7469,1.4063,2.0717,382.1,,-3576.105
outputs_q_learning1804_05,Q-learning,timeofuse,50.0,2102.194,0.510106183047159,48.989,0.6039,0.7215053763440861,,,,,,720.96,,-3124.316
outputs_q_learning1804_05_200_copy,Q-learning,timeofuse,200.0,1240.166,0.3009314766405303,69.907,0.9268,1.1072879330943848,,,,,,1562.67,,-2321.784
outputs_q_learning2404_02_01,Q-learning,weather,1.0,1549.233,0.37592787929215826,62.407,0.7248,0.8659498207885306,,,,,,7.68,,-13097.799
outputs_q_learning0105_02,Q-learning,weather,2.0,1504.786,1.4282937293259488,-42.829,0.7904,0.8080147209159682,,,,,,19.36,,-13080.167
outputs_q_learning1804_05_2,Q-learning,weather,2.0,1838.63,0.44615127401942833,55.385,0.5755,0.6875746714456392,,,,,,15.93,,-13147.155
outputs_q_learning1804_05,Q-learning,weather,50.0,1673.256,0.40602257994302965,59.398,0.6458,0.7715651135005974,,,,,,444.85,,-7545.36
outputs_q_learning1804_03,Q-learning,weather,200.0,1209.938,0.2935965257743641,70.64,0.9318,1.1132616487455198,,,,,,1539.26,82.0,-4688.99
outputs_q_learning1804_05_200_copy,Q-learning,weather,200.0,1209.938,0.2935965257743641,70.64,0.9318,1.1132616487455198,,,,,,1550.2,82.0,-4688.99
outputs_q_learning1804_01_backup,Q-learning,weather,400.0,663.454,0.38391196088745067,61.609,0.6648,0.6819860484201887,,,,,,1132.3,95.0,-1608.523
outputs_q_learning2004_02,Q-learning,"weather,_seed=7",400.0,1099.203,0.2667262140049807,73.327,0.975,1.1648745519713262,,,,,,3211.51,82.0,-4497.106
outputs_q_learning2104_weather_only,Q-learning,"weather,_seed=7",400.0,1467.115,0.3383452317586946,66.165,0.9617,1.0954550632190454,,,,,,6844.98,110.0,-6751.989
