source_dir,algorithm,reward_name,reward_key,episodes,policy,grid_import_kwh,export_kwh,net_consumption_kwh,discomfort_proportion,discomfort_cold_proportion,discomfort_hot_proportion,all_rewards,cost_total_ratio,carbon_emissions_total_ratio,daily_peak_average_ratio,ramping_average_ratio,savings_vs_fixed_pct,train_sec,stability_episode,last_10_episode_reward_mean
outputs_q_learning1804_03,Q-learning,Pricing reward,pricing,200.0,Q-learning (Pricing reward),1342.089,,1194.686,0.8511,,,-1491.251,,,,,67.434,1597.55,103.0,-1602.951
outputs_q_learning1804_05_200_copy,Q-learning,Pricing reward,pricing,200.0,Q-learning (Pricing reward),1342.089,,1194.686,0.8511,,,-1491.251,,,,,67.434,1513.55,103.0,-1602.951
outputs_q_learning2404_02_01,Q-learning,Ramping reward,ramping,1.0,Q-learning (Ramping reward),2536.845,,2437.361,0.558,,,-3668.324,,,,,38.442,7.69,,-6323.531
outputs_q_learning0105_02,Q-learning,Ramping reward,ramping,2.0,Q-learning (Ramping reward),1798.435,,1615.476,0.7253,,,-2990.647,,,,,-70.702,18.84,,-6379.903
outputs_q_learning1804_05_2,Q-learning,Ramping reward,ramping,2.0,Q-learning (Ramping reward),2430.367,,2261.224,0.5481,,,-3691.417,,,,,41.026,15.23,,-6319.73
outputs_q_learning1804_05,Q-learning,Ramping reward,ramping,50.0,Q-learning (Ramping reward),1720.949,,1558.872,0.6792,,,-2546.707,,,,,58.24,382.49,,-4206.056
outputs_q_learning1804_05_200_copy,Q-learning,Ramping reward,ramping,200.0,Q-learning (Ramping reward),1322.184,,1161.128,0.8647,,,-1952.361,,,,,67.917,1772.91,116.0,-2530.912
outputs_q_learning0105_08,Q-learning,Selective export reward,selective_export,50.0,Q-learning (Selective export reward),1396.555,133.179,1263.376,0.8665,,,-3566.198,,,,,-32.556,384.75,,-5413.869
outputs_q_learning2404_02_01,Q-learning,SelfSufficiency reward,selfsufficiency,1.0,Q-learning (SelfSufficiency reward),1337.484,,1255.084,0.8895,,,-1330.532,,,,,67.545,7.86,,-4289.665
outputs_q_learning0105_02,Q-learning,SelfSufficiency reward,selfsufficiency,2.0,Q-learning (SelfSufficiency reward),1058.061,,898.979,0.9782,,,-1004.186,,,,,-0.428,19.2,,-4242.202
